Academic_Year,Term,Course_Number,Course_Title,Primary_Instructor,Student_Count,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average_GPA
2013-14,20142 (Spring 2014),SPHSC 531 B,NEURO MTR SPCH DIS,"SPENCER, KRISTIE",18,10,6,2,,,,,,,,,,,3.8
2013-14,20142 (Spring 2014),SPHSC 534 A,A & T DYSPHAGIA,"BRITTON, DEANNA J",18,6,11,1,,,,,,,,,,,3.6
2013-14,20142 (Spring 2014),SPHSC 534 B,A & T DYSPHAGIA,"BRITTON, DEANNA J",25,6,15,3,,1,,,,,,,,,3.6
2013-14,20142 (Spring 2014),SPHSC 536 A,SCHOOL-AGE COM DIS,"KOVER, SARA T",18,16,2,,,,,,,,,,,,3.9
2013-14,20142 (Spring 2014),SPHSC 536 B,SCHOOL-AGE COM DIS,"KOVER, SARA T",25,13,12,,,,,,,,,,,,3.8
2013-14,20142 (Spring 2014),SPHSC 541 B,AAC: MEDICAL,"DOWDEN, PATRICIA A.",24,18,5,1,,,,,,,,,,,3.8
2013-14,20142 (Spring 2014),SPHSC 548 B,TBI SEMINAR,"SPENCER, KRISTIE",24,21,3,,,,,,,,,,,,3.9
2013-14,20142 (Spring 2014),STAT 220 A,BASIC STATISTICS,"GROVE, RANJINI",147,5,15,26,22,21,12,9,5,6,6,1,11,8,2.5
2013-14,20142 (Spring 2014),STAT 221 A,STAT FOR SOC SCI,"MORITA, JUNE G",131,8,34,29,23,14,11,3,1,,1,,5,2,3.0
2013-14,20142 (Spring 2014),STAT 311 A,ELEMNTS STAT METHOD,"MORRIS, MARTINA",155,14,22,17,27,24,19,2,4,3,3,1,7,12,2.8
2013-14,20142 (Spring 2014),STAT 311 B,ELEMNTS STAT METHOD,"CARDOSO, TAMRE",114,17,37,30,11,3,2,,1,3,2,,1,7,3.3
